id,character,cloth,class,rank,affiliation,scheme,artist,constellation,evilStar
10,10,189,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleo-aiolia.jpg?alt=media&token=95b5ccea-5597-4ef2-b84e-2d748699b0c0,,,
11,10,190,22,9,14,,,,
13,11,302,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagittarius-aiolos.jpg?alt=media&token=968a4b33-f4f0-496a-883d-5ccba20f6d7d,,,
14,11,303,22,9,14,,,,
15,12,284,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpisces-aphrodite.jpg?alt=media&token=565747b1-af6b-464b-a955-c90e76ee3adb,1,,
18,15,336,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Ftaurus-aldebaran.jpg?alt=media&token=0b196a01-14a4-420a-93d4-37b7c2473c69,1,,
19,15,337,22,9,14,,,,
20,16,379,22,4,14,,,,
21,17,165,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fheracles-algethi.jpg?alt=media&token=4df620fa-ea18-47e6-a00b-322687646526,1,,
22,18,273,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fperseus-algol.jpg?alt=media&token=23852782-70d8-45bf-b8bb-42514693777f,1,,
24,20,105,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdelphinus-mii.jpg?alt=media&token=ebf07b32-f5b0-400f-80c4-9872dc2b4f51,4,,
25,21,32,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fauriga-almaaz.jpg?alt=media&token=4f55d901-2947-4766-a5c2-c5117457870f,6,,
27,23,284,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpisces-amor.jpg?alt=media&token=de320df7-4d11-4d5c-a1b2-7d4e619ddb3c,5,,
32,27,284,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpisces-aphrodite.jpg?alt=media&token=565747b1-af6b-464b-a955-c90e76ee3adb,1,,
33,27,285,22,9,14,,,,
37,31,335,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Ftarantula-arachne.png?alt=media&token=7c0882be-c896-408e-a10a-5466fc3e9f26,,,
38,32,301,22,6,14,,,,
40,34,359,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fvolans-argo.jpg?alt=media&token=bece41c0-53f8-4200-bf5b-7e21a830b8a4,6,,
41,35,30,22,9,14,,,,
43,37,195,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flepus-arne.jpg?alt=media&token=45196747-0ba6-441d-b125-3e0df59be7dc,6,,
46,40,356,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fvirgo-shaka.jpg?alt=media&token=9ba9e0df-8a93-4dff-a5af-ff67f495aa97,1,,
47,41,148,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgemini-saga.jpg?alt=media&token=da811d72-4f30-4e9e-bf06-b2d798b298d2,1,,
48,42,57,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcanes-venatici-asterion.jpg?alt=media&token=4bac8a8b-3bdd-4912-8b63-6284aed1b855,1,,
52,46,,22,2,14,,,,
53,47,61,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcarina-atlas.jpg?alt=media&token=a1d81ff7-446e-40ba-b975-0741cc87a9d5,5,,
55,49,26,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faries-avenir.png?alt=media&token=429cbc6a-550c-47f3-b309-ec4b2b79b785,10,,
56,50,64,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcentaurus-babel.jpg?alt=media&token=cb75da1c-fcdf-4ca6-81db-bca9f983672e,1,,
59,53,296,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Freticulum-balazo.jpg?alt=media&token=12c7b687-d6de-49cd-88b2-1d77f58a7afc,,,
61,55,191,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleo-minor-ban.jpg?alt=media&token=8cb61139-21c0-4e54-bed3-a9ef2ed94d04,1,,
62,56,54,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcamelopardalis-bartsch.jpg?alt=media&token=a3c37426-c82f-4627-9a40-329d44b03364,,,
63,57,49,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fbootes-bayer.jpg?alt=media&token=269e6573-4cd5-47a2-9471-be5266503e1a,6,,
67,61,78,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcoma-berenices-berengue.jpg?alt=media&token=f9585b10-55f5-4161-aae6-e9b400dc8ee0,5,,
68,63,191,22,5,14,,,,
73,69,148,22,7,14,,,,
75,71,18,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquarius-camus.jpg?alt=media&token=60b6abdb-d384-461f-9936-d46e5c52be06,1,,
76,71,19,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquarius-camus-god.png?alt=media&token=5bd0733d-423e-46d3-bd31-d7e114824e34,5,,
77,72,32,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fauriga-capella.jpg?alt=media&token=395caf60-29c2-4ab4-9bc7-72829d22801a,1,,
79,74,284,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpisces-cardinale.jpg?alt=media&token=076418eb-1ed3-4ab3-9a62-9ea490a286f2,5,,
81,76,388,22,4,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcassios.jpg?alt=media&token=6005dd39-ebdf-4a73-a236-9707211c1608,5,,
82,77,133,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fequuleus-celeris.jpg?alt=media&token=69530136-f022-43ab-a66d-7b6485452739,5,,
88,83,86,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcrux-christ.jpg?alt=media&token=ddf10893-78fd-46a7-8e85-e4e8c695bf10,5,,
94,89,87,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcrystal-saint.jpg?alt=media&token=39fb4470-af09-4f12-9fbb-125c50838220,6,,
97,92,172,22,5,14,,,,
99,94,187,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fland-daichi.jpg?alt=media&token=ecb5062a-54cd-4866-af40-772e807b96ad,,,
100,95,80,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcorona-borealis-dali.jpg?alt=media&token=1516a0ee-d0ea-4549-aa3c-c964042c86cb,,,
101,96,66,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcerberus-dante.jpg?alt=media&token=2eb501a1-e201-440c-9c5a-bca18f2dbb4f,,,
102,97,55,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcancer-deathmask.jpg?alt=media&token=3f6391c1-fb0f-452a-bf16-80fd79f3d895,1,,
103,97,56,22,9,14,,,,
105,98,55,22,7,14,,,,
106,99,148,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgemini-saga.jpg?alt=media&token=da811d72-4f30-4e9e-bf06-b2d798b298d2,1,,
107,100,18,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquarius-camus.jpg?alt=media&token=60b6abdb-d384-461f-9936-d46e5c52be06,1,,
110,103,235,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fmusca-dio.jpg?alt=media&token=9d4fd41a-d52d-41ca-91bd-3cc84011a5c6,1,,
112,105,,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdocrates.jpg?alt=media&token=e7fe0190-11ac-43a8-9e02-02ea1d82736a,6,,
113,106,197,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flibra-dohko.jpg?alt=media&token=1e82e146-144c-4cac-a45e-55223deead65,1,,
114,106,198,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flibra-dohko-god.jpg?alt=media&token=5efd0baf-09f8-4637-a6db-f93a202650bb,5,,
115,107,374,22,4,14,,,,
116,108,66,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcerberus-dorer.jpg?alt=media&token=11e4d1fb-a5ef-4b1a-bf61-f1faaa3b7973,,,
117,109,351,22,5,14,,,,
125,116,253,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Forion-eden-1.jpg?alt=media&token=bbfcd597-ab60-456c-b5eb-f3bbadf8038d,5,,
126,116,254,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Forion-eden-2.jpg?alt=media&token=5689b112-b98d-404f-a276-d96f6ba9d97e,,,
127,116,390,22,9,14,,,,
130,119,59,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcapricorn-shura.jpg?alt=media&token=b923e33e-3da0-4111-81ad-adfed479bbbd,1,,
131,120,63,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcassiopeia-elda.png?alt=media&token=6d07b8e8-292f-4b8c-b38e-526e7a4ba76d,4,,
133,122,39,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Femma.png?alt=media&token=e2deab82-53c0-4b2e-9793-d17dce4de3a1,11,,
136,125,307,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fscutum-ennead.jpg?alt=media&token=b4b96c4b-86e0-4ef3-8e0b-2f79471d0c32,,,
137,126,39,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Ferna.png?alt=media&token=f8c85381-427d-4888-84b6-e740572f48f8,11,,
138,127,305,22,7,14,,,,
147,135,235,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fmusca-fly.jpg?alt=media&token=01008b7c-9653-4345-b805-4d6565884f72,,,
150,138,336,22,7,14,,,,
153,141,356,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fvirgo-fudou.jpg?alt=media&token=d8bc559e-632f-4ed5-b9fe-953881871cb8,5,,
154,142,380,22,4,14,,,,
157,145,,22,2,14,,,,
159,147,,22,1,14,,,,
162,150,26,22,7,14,,,,
163,151,151,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fghosts-master-geist.jpg?alt=media&token=62e3ee90-8828-4698-a31e-6029baeb3818,6,,
164,152,351,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fursa-major-geki.jpg?alt=media&token=db702307-5d12-40dc-85cb-539ca8894004,1,,
165,153,197,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flibra-genbu.jpg?alt=media&token=a888079d-c98e-44b8-bd18-803c6b35669a,5,,
166,154,86,22,6,14,,,,
167,155,,22,,14,,,,
169,157,302,22,7,14,,,,
171,159,,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgigas.png?alt=media&token=16175039-77f1-484c-8310-770b264491f8,,,
172,160,,22,,14,,,,
174,162,77,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcolumba-gray.jpg?alt=media&token=914b3ff5-74c0-4d81-b8cb-88293b677c9b,6,,
175,163,315,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fshadow-saint.jpg?alt=media&token=6958fde9-3a38-4c56-93be-d9da20880388,1,,
178,166,,22,,14,,,,
179,167,103,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdelphinus-guney.jpg?alt=media&token=653ce0f7-fcdc-4530-a372-b2009f5cbae0,5,,
182,170,24,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fara-hakurei.jpg?alt=media&token=9e289525-6cc1-4f9a-9936-e2b2471c6703,3,,
184,172,336,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Ftaurus-harbinger.jpg?alt=media&token=9f0412df-dbbf-4fa2-856f-48f94db3d0b4,5,,
185,173,203,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flupus-haruto-1.jpg?alt=media&token=9295ffd5-1988-4e8d-b4b2-2a6f4005921d,5,,
186,173,204,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flupus-haruto-2.jpg?alt=media&token=b08e8371-1469-48c2-9b17-bb33b0c218b9,,,
187,173,205,22,9,14,,,,
188,174,336,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Ftaurus-aldebaran.jpg?alt=media&token=0b196a01-14a4-420a-93d4-37b7c2473c69,1,,
196,182,73,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcircinus-hooke.jpg?alt=media&token=f480cd14-1a7d-4394-b854-869f1d496d2e,6,,
199,185,18,22,7,14,,,,
200,185,90,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcygnus-hyoga-1.jpg?alt=media&token=a3fb0b53-a69f-4621-afd1-a13958dfee19,1,,
201,185,91,22,5,14,,,,
202,185,92,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcygnus-hyoga-2.jpg?alt=media&token=8dfe7c8d-d602-4447-8d9a-e3c7f294531c,1,,
203,185,93,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcygnus-hyoga-3.jpg?alt=media&token=b6e30fa5-7977-4e63-a9a9-d122736e6d18,1,,
204,185,94,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcygnus-hyoga-god.jpg?alt=media&token=87cfd61e-9822-4e51-86a9-22ef551bf4e3,1,,
212,192,172,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fhydra-ichi.jpg?alt=media&token=6ba5a2d1-c60f-4e64-8144-38866498f855,1,,
213,192,173,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fhydrus-ichi.jpg?alt=media&token=2bcac7b8-c521-416c-b809-ef824e4f5ffd,5,,
214,193,189,22,9,14,,,,
215,193,278,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fphoenix-ikki-1.jpg?alt=media&token=dc7c755d-d551-4022-aa4a-6203ca075a1c,1,,
216,193,279,22,5,14,,,,
217,193,280,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fphoenix-ikki-2.jpg?alt=media&token=0d39f899-b6e3-4f2c-93df-c0034aad9b0f,1,,
218,193,281,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fphoenix-ikki-3.jpg?alt=media&token=1b6a4611-64ca-48d4-9c6a-7900b1aea0e1,1,,
219,193,282,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fphoenix-ikki-god.jpg?alt=media&token=def87471-1adb-4b5e-89ec-168a3b2bd1f2,1,,
220,194,189,22,7,14,,,,
222,196,59,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcapricornus-ionia.jpg?alt=media&token=12dcc286-5944-40b3-a785-a2bdd7bb2ccc,5,,
223,197,90,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcygnus-isaak.jpg?alt=media&token=e0620929-eadf-4807-bcff-cdcf8dc6f491,2,,
226,199,197,22,7,14,,,,
228,201,59,22,7,14,,,,
229,202,228,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fmonoceros-jabu.jpg?alt=media&token=97ae3fbb-907f-46b7-8836-1f96af804118,1,,
230,203,252,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Forion-jager.jpg?alt=media&token=3143a6d7-62f1-494d-b21e-e782d05a4915,5,,
231,204,,22,2,14,,,,
232,205,82,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcorvus-jamian.jpg?alt=media&token=c0ed4a42-169e-42a9-8f5c-e91d53a591cf,1,,
