id,name,meaning,association,illustration
constellation-26,Corona australis,Southern crown,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcorona-australis.png?alt=media&token=4297513a-3ceb-4097-94eb-304f4fc34286
constellation-27,Corona borealis,Northern crown,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcorona-borealis.png?alt=media&token=24dd3899-66dc-48d4-9ad7-a0d6a3a63d23
constellation-28,Corvus,Raven,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcorvus.png?alt=media&token=79c0a1e4-07d6-4d56-882b-33db6b62de3a
constellation-29,Crater,Cup,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcrater.png?alt=media&token=9fe5b46f-eb66-4206-8608-d4e16ce208e2
constellation-30,Crux,Southern cross,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcrux.png?alt=media&token=ab4fdd7e-96a3-41bf-8c59-1f759110debb
constellation-31,Cygnus,Swan,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcygnus.png?alt=media&token=450baea8-d12c-4efb-849b-dff0902c73ba
constellation-32,Delphinus,Dolphin,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fdelphinus.png?alt=media&token=d71d9ff5-11d6-4969-b042-c8817ee1ceba
constellation-33,Dorado,Dolphinfish,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fdorado.png?alt=media&token=4d3a1a9c-ec5c-4ca7-ba7b-08761c7a216c
constellation-34,Draco,Dragon,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fdraco.png?alt=media&token=b8b0e69a-60fb-48b3-bed9-7097758aa3c2
constellation-35,Equuleus,Little horse,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fequuleus.png?alt=media&token=bbaea877-fb89-410f-b598-f1c3a227e07a
constellation-36,Eridanus,Celestial river,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Feridanus.png?alt=media&token=8105b447-0016-489e-ad21-28873bbfba62
constellation-37,Fornax,Furnace,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ffornax.png?alt=media&token=cea89151-1d87-4032-9a26-c0e9fd51474b
constellation-38,Gemini,Twins,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fgemini.png?alt=media&token=400690ef-8aeb-4471-bfdd-28a9f1084cbf
constellation-39,Grus,Crane,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fgrus.png?alt=media&token=e99ca853-60e7-4327-8380-44b7d9a78c0c
constellation-40,Heracles,Strong man,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhercules.png?alt=media&token=e9c4f2dc-137d-471b-8ee9-22f5b1508e7d
constellation-41,Horologium,Pendulum clock,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhorologium.png?alt=media&token=a9f08a27-ed4f-4331-a9b5-27002b024c2b
constellation-42,Hydra,Water serpent,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhydra.png?alt=media&token=bbb842ac-5857-4ac1-af4b-f84c9d6af369
constellation-43,Hydrus,Water snake,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhydrus.png?alt=media&token=e908bbde-7b53-408f-9d70-aa5559e48741
constellation-44,Indus,Indian,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Findus.png?alt=media&token=076e4be4-7439-4ac4-bab6-57e639baaf7c
constellation-45,Lacerta,Lizard,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flacerta.png?alt=media&token=a83086b7-724e-4451-a2f8-9217ef06b0bf
constellation-46,Leo,Lion,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fleo.png?alt=media&token=06183bb8-c029-4008-af47-f37e0514873a
constellation-47,Leo minor,Little lion,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fleo-minor.png?alt=media&token=bf3bbf5c-a8f3-407c-8b41-8c2cc8caf106
constellation-48,Lepus,Hare,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flepus.png?alt=media&token=edd811df-3922-469e-9379-6975550e9265
constellation-49,Libra,Scales,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flibra.png?alt=media&token=d7318762-729d-4f6b-8c5c-f37c1ed1bec0
constellation-50,Lupus,Wolf,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flupus.png?alt=media&token=16751ec4-52aa-4ccd-9092-3ffd9abdc88c
constellation-51,Lynx,Lynx,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flynx.png?alt=media&token=874179bc-660f-48a9-92a9-a10766914740
constellation-52,Lyra,Harp,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flyra.png?alt=media&token=33e8d558-3e0b-4c50-a44c-7aee07710713
constellation-53,Mensa,Table mountain,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmensa.png?alt=media&token=326a4857-6ee7-46a7-8bac-79e0ac55b506
constellation-54,Microscopium,Microscope,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmicroscopium.png?alt=media&token=7bf5b147-19b8-44a7-bdc1-c5eca493e305
constellation-55,Monoceros,Unicorn,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmonoceros.png?alt=media&token=1b434afa-7ba7-4c5e-be1a-4ddbdd96b0ac
constellation-56,Musca,Fly,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmusca.png?alt=media&token=df20000a-aa9e-4980-9a56-c5fd52119309
constellation-57,Norma,Level,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fnorma.png?alt=media&token=661ef748-e0f2-480a-802d-61c54aa2e5d9
constellation-58,Octans,Octant,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Foctans.png?alt=media&token=29576a14-a060-4c0e-9b4c-b3bd641291cf
constellation-59,Ophiuchus,Serpent holder,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fophiuchus.png?alt=media&token=36cff685-e2eb-49fc-9ba7-8ce2c0de33dd
constellation-60,Orion,Hunter,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Forion.png?alt=media&token=d6570605-6158-4d5d-a44c-a43cfcd3f8cc
constellation-61,Pavo,Peacock,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpavo.png?alt=media&token=eff1650d-8382-4a91-ad97-9aa915d498aa
constellation-62,Pegasus,Winged horse,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpegasus.png?alt=media&token=71fb2269-1e2a-49e0-ac9e-b0a7cf5eab71
constellation-63,Perseus,Greek hero,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fperseus.png?alt=media&token=9084c066-003d-48e3-b3c8-878e57ae670d
constellation-64,Phoenix,Firebird,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fphoenix.png?alt=media&token=45a23e90-304f-4d57-a74f-c4ab7beca196
constellation-65,Pictor,Painter’s easel,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpictor.png?alt=media&token=5de19d86-ae40-44e3-a109-abda095c4c29
constellation-66,Pisces,Fishes,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpisces.png?alt=media&token=14d7defb-08bd-4ffe-b23a-cb2803270712
constellation-67,Piscis austrinus,Southern fish,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpiscis-austrinus.png?alt=media&token=fd5aa5b2-81d6-4c28-9d33-324e0d97cef6
constellation-68,Puppis,Stern of argo navis,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpuppis.png?alt=media&token=65ca7219-f7f8-4693-9297-8cbff746502f
constellation-69,Pyxis,Compass,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpyxis.png?alt=media&token=1f9cc200-1b52-45f7-8700-05bd3779c154
constellation-70,Reticulum,Reticle,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Freticulum.png?alt=media&token=bc45d8ed-75ec-452c-833d-a877e5c2ece8
constellation-71,Sagitta,Arrow,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsagitta.png?alt=media&token=11a400db-7b7a-4b82-a0cb-169c1ecae5da
constellation-72,Sagittarius,Archer,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsagittarius.png?alt=media&token=38fa81bc-6b97-4f88-8a60-84b139ab0fd7
constellation-73,Scorpius,Scorpion,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fscorpius.png?alt=media&token=9e87f605-5646-4e48-bc4b-dd243c9a56b5
constellation-74,Sculptor,Sculptor,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsculptor.png?alt=media&token=e19b4a94-0d6a-4be2-a873-3089817b7699
constellation-75,Scutum,Shield,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fscutum.png?alt=media&token=fe122cf4-2bd2-4bd3-bd7c-e130d8b52bd9
constellation-76,Serpens,Serpent,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fserpens.png?alt=media&token=8e2f9d8c-9601-4edb-b326-aa28a271fb93
constellation-77,Sextans,Sextant,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsextans.png?alt=media&token=f5a0e972-fdfb-4148-9e7f-40e4ea355a68
constellation-78,Taurus,Bull,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftaurus.png?alt=media&token=027bb561-f0f5-44c1-ab49-5d684a3f25f7
constellation-79,Telescopium,Telescope,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftelescopium.png?alt=media&token=85991ad1-64cf-4a71-8fb2-ed62f7dfefab
constellation-80,Triangulum,Triangle,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftriangulum.png?alt=media&token=177b400e-4ab2-4b92-a8d9-5ff0df9c2e2b
constellation-81,Triangulum australe,Southern triangle,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftriangulum-australe.png?alt=media&token=feba1dc3-a14f-40b7-a7c0-d17b0ed487be
constellation-82,Tucana,Toucan,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftucana.png?alt=media&token=7bd3829c-18c7-4947-b2e4-e31dc9443b7a
constellation-83,Ursa major,Big bear,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fursa-major.png?alt=media&token=f928b480-ec7e-4c9b-bf57-4dd8fa4401d5
constellation-84,Ursa minor,Small bear,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fursa-minor.png?alt=media&token=8d6e03d9-ddcf-4e09-b492-e047cfbd7407
constellation-85,Vela,Sails of argo navis,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvela.png?alt=media&token=6ad4e3c5-0e41-46f0-a37b-b37b1c151ce1
constellation-86,Virgo,Young maiden,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvirgo.png?alt=media&token=979546d3-2120-4a25-84ef-f9bbe1e70d38
constellation-87,Volans,Flying fish,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvolans.png?alt=media&token=0d426dc9-002f-494d-96c8-f17153a11107
constellation-88,Vulpecula,Little fox,,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvulpecula.png?alt=media&token=07c594d3-1366-4b2e-828f-4205539c27f0
constellation-89,Anguilla,Eel,,
constellation-90,Antinous,Antinous,,
constellation-91,Apes,"Bees (renamed to Vespa, then Lilium, then to Musca Borealis)",,
constellation-92,Apis,"Bee (obsolete name and renamed to Musca Australis, and then shortened to Musca)",,
constellation-93,Aranea,Long-Legged Spider,,
constellation-94,Argo Navis,"The Ship Argo (now divided into Carina, Puppis, and Vela)",,
constellation-95,Asselli and Praesepe,Dionysus's Asses (Asellus Borealis and Asellus Australis) and Manger (Beehive Cluster),,
constellation-96,Asterion and Chara,Northern and Southern Dogs in Canes Venatici,,
constellation-97,Battery of Volta,Battery,,
constellation-98,Bufo,Toad,,
constellation-99,Cancer Minor,Lesser Crab,,
constellation-100,Capra and Haedi,Goat Amalthea (stars surrounding Capella) and the Kids (Haedus I and Haedus II),,
constellation-101,Cerberus,Cerberus (guardian dog of Hades),,
constellation-102,Cor Caroli Regis Martyris,Charles's Heart,,
constellation-103,Corona Firmiana,Corona Borealis renamed to honor Count Leopold Anton von Firmian,,
constellation-104,Custos Messium,Keeper of harvests,,
constellation-105,Deltoton,Delta (obsolete name for Triangulum Boreale),,
constellation-106,Dentalium,Tooth Shell,,
constellation-107,Felis,Cat,,
constellation-108,Frederici Honores,Frederick's Honors,,
constellation-109,Gallus,Rooster,,
constellation-110,Gladii Electorales Saxonici,Crossed Swords of the Electorate of Saxony,,
constellation-111,Globus Aerostaticus,Hot air balloon,,
constellation-112,Gryphites,Gryphaea shellfish,,
constellation-113,Hippocampus,Sea Horse,,
constellation-114,Hirudo,Leech,,
constellation-115,Jordanus,River Jordan,,
constellation-116,Leo Palatinus,Lion to honor the Elector Palatine Charles Theodore and his wife Elisabeth Auguste,,
constellation-117,Lochium Funis,Log line (renamed to Linea Nautica in 1888 by Eliza A. Bowen[16]),,
constellation-118,Lilium,Fleur de Lys (renamed Musca Borealis),,
constellation-119,Limax,Slug,,
constellation-120,Linum Piscium,The line connecting the fish (renamed from Linum Austrinum and Linum Boreum by Bode in 1801; known as Lineola too),,
constellation-121,Lumbricus,Earthworm,,
constellation-122,Machina Electrica,Electricity generator,,
constellation-123,Malus,Mast,,
constellation-124,Manis,Pangolin,,
constellation-125,Marmor Sculptile,Bust of Columbus,,
constellation-126,Mons Maenalus,Mount Mainalo,,
constellation-127,Musca Borealis,Northern Fly,,
constellation-128,Noctua,Owl,,
constellation-129,Nubecula Major and Nubecula Minor[citation needed],Magellanic Clouds,,
constellation-130,Officina Typographica,Printshop,,
constellation-131,Patella,Limpet,,
constellation-132,Phoenicopterus,Flamingo (an obsolete name for Grus),,
constellation-133,Pinna Marina,Mussel,,
constellation-134,Piscis Notus,Southern Fish (obsolete name for Piscis Austrinus),,
constellation-135,Polophylax,Guardian of the Pole,,
constellation-136,Pomum Imperiale,Leopold's orb,,
constellation-137,Phaethon,Phaethon,,
constellation-138,Pluteum,Parapet (obsolete for Pictor),,
constellation-139,Psalterium Georgii,George's Psaltery (renamed to Harp Georgii by Lalande),,
constellation-140,Quadrans Muralis,Mural Quadrant,,
constellation-141,Quadratum,Rhombus (obsolete name for Reticulum Rhomboidalis),,
constellation-142,Ramus Pomifer,Apple-bearing Branch,,
constellation-143,Robur Carolinum,Charles' Oak,,
constellation-144,Rosa,Rose,,
constellation-145,Sagitta Australis,Southern Arrow,,
constellation-146,Scarabaeus,Rhinoceros Beetle,,
constellation-147,Sceptrum Brandenburgicum,Scepter of Brandenburg,,
constellation-148,Sceptrum et Manus Iustitiae,Scepter and Hand of Justice,,
constellation-149,Sciurus Volans,Flying Squirrel (now part of Camelopardalis),,
constellation-150,Sextants Uraniae,Urania's Sextant (obsolete name for Sextans),,
constellation-151,"Siren, Ceneus and Lang","Siren, Lapith Caeneus and Toucan",,
constellation-152,Solarium,Sundial,,
constellation-153,Sudarium Veronicae,Sudarium of Veronica,,
constellation-154,Rangifer or Tarandus,Reindeer,,
constellation-155,Taurus Poniatovii,Poniatowski's Bull,,
constellation-156,Tarabellum and Vexillum,Drill and flag-like Standard,,
constellation-157,Telescopium Herschelii,Herschel's Telescope (renamed from Tubus Herschelii Major by Bode in 1801),,
constellation-158,Tubus Herschelii Minor,Herschel's Reflector,,
constellation-159,Testudo,Tortoise,,
constellation-160,Tigris,Tigris River,,
constellation-161,Triangulus Antarcticus,Obsolete name for Triangulum Australe,,
constellation-162,Triangulum Majus,Large Triangle (obsolete name for Triangulum),,
constellation-163,Triangulum Minus,Small Triangle,,
constellation-164,Turdus Solitarius,"Solitary Thrush (renamed to Mocking Bird and then to Noctua). Named in honor of the Rodrigues solitaire, an extinct flightless bird related to the dodo.",,
constellation-165,Uranoscopus,Star-Gazer fish,,
constellation-166,Urna,Urn of Aquarius,,
constellation-167,Vespa,Wasp (an obsolete name for Musca Borealis),,
constellation-168,"Triangula, Triangulum, Catuli, Corona, Corolla, Piscis, Camelus, Vulpes, Equus, Delphin, Ursa Minor, Canis, Felis, Leaena and Cervus","Obsolete names for Triangulum Boreale, Triangulum Australe, Canes Venatici, Corona Borealis, Corona Australis, Piscis Australis, Cameleopardalis, Vulpecula et Anser, Equuleus, Delphinus, Ursa Major, Ursa Minor, Canis Major, Canis Minor, Leo Minor and Monoceros",,
constellation-169,N? Xi�,Chinese Princess,,
evil-star-1,Celestial Leader Star,Tiankui,Song Jiang,
evil-star-2,Celestial Strength Star,Tiangang,Lu Junyi,
evil-star-3,Celestial Knowledge Star,Tianji,Wu Yong,
evil-star-4,Celestial Leisure Star,Tianxian,Gongsun Sheng,
evil-star-5,Celestial Brave Star,Tianyong,Guan Sheng,
evil-star-6,Celestial Majestic Star,Tianxiong,Lin Chong,
evil-star-7,Celestial Fierce Star,Tianmeng,Qin Ming,
evil-star-8,Celestial Prestige Star,Tianwei,Huyan Zhuo,
evil-star-9,Celestial Hero Star,Tianying,Hua Rong,
evil-star-10,Celestial Noble Star,Tiangui,Chai Jin,
evil-star-11,Celestial Wealth Star,Tianfu,Li Ying,
evil-star-12,Celestial Fulfillment Star,Tianman,Zhu Tong,
evil-star-13,Celestial Solitary Star,Tiangu,Lu Zhishen,
evil-star-14,Celestial Harm Star,Tianshang,Wu Song,
evil-star-15,Celestial Steadfast Star,Tianli,Dong Ping,
evil-star-16,Celestial Agile Star,Tianjie,Zhang Qing,
evil-star-17,Celestial Dark Star,Tian'an,Yang Zhi,
evil-star-18,Celestial Guardian Star,Tianyou,Xu Ning,
evil-star-19,Celestial Flight Star,Tiankong,Suo Chao,
evil-star-20,Celestial Speed Star,Tiansu,Dai Zong,
evil-star-21,Celestial Deviance Star,Tianyi,Liu Tang,
evil-star-22,Celestial Killer Star,Tiansha,Li Kui,
evil-star-23,Celestial Minute Star,Tianwei,Shi Jin,
evil-star-24,Celestial Investigative Star,Tianjiu,Mu Hong,
evil-star-25,Celestial Defence Star,Tiantui,Lei Heng,
evil-star-26,Celestial Longevity Star,Tianshou,Li Jun,
evil-star-27,Celestial Sword Star,Tianjian,Ruan Xiaoer,
evil-star-28,Celestial Balance Star,Tianping,Zhang Heng,
evil-star-29,Celestial Guilt Star,Tianzui,Ruan Xiaowu,
evil-star-30,Celestial Damage Star,Tiansun,Zhang Shun,
evil-star-31,Celestial Defeat Star,Tianbai,Ruan Xiaoqi,
evil-star-32,Celestial Secure Star,Tianlao,Yang Xiong,
evil-star-33,Celestial Wisdom Star,Tianhui,Shi Xiu,
evil-star-34,Celestial Savage Star,Tianbao,Xie Zhen,
evil-star-35,Celestial Crying Star,Tianku,Xie Bao,
evil-star-36,Celestial Skilful Star,Tianqiao,Yan Qing,
evil-star-37,Terrestrial Leader Star,Dikui,Zhu Wu,
evil-star-38,Terrestrial Malignant Star,Disha,Huang Xin,
evil-star-39,Terrestrial Brave Star,Diyong,Sun Li,
evil-star-40,Terrestrial Prominence Star,Dijie,Xuan Zan,
evil-star-41,Terrestrial Magnificent Star,Dixiong,Hao Siwen,
evil-star-42,Terrestrial Majestic Star,Diwei,Han Tao,
evil-star-43,Terrestrial Hero Star,Diying,Peng Qi,
evil-star-44,Terrestrial Unique Star,Diqi,Shan Tinggui,
evil-star-45,Terrestrial Fierce Star,Dimeng,Wei Dingguo,
evil-star-46,Terrestrial Literature Star,Diwen,Xiao Rang,
evil-star-47,Terrestrial Upright Star,Dizheng,Pei Xuan,
evil-star-48,Terrestrial Wide Star,Dikuo,Ou Peng,
evil-star-49,Terrestrial Whole Star,Dihe,Deng Fei,
evil-star-50,Terrestrial Strong Star,Diqiang,Yan Shun,
evil-star-51,Terrestrial Dark Star,Di'an,Yang Lin,
evil-star-52,Terrestrial Assist Star,Difu,Ling Zhen,
evil-star-53,Terrestrial Meet Star,Dihui,Jiang Jing,
evil-star-54,Terrestrial Aid Star,Dizuo,Lu Fang,
evil-star-55,Terrestrial Help Star,Diyong,Guo Sheng,
evil-star-56,Terrestrial Efficacious Star,Diling,An Daoquan,
evil-star-57,Terrestrial Beast Star,Dishou,Huangfu Duan,
