id,name,meaning,illustration
16,Capricornus,Sea goat,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcapricornus.png?alt=media&token=73308f37-1854-4af7-8a46-68bb06e04ad2
17,Carina,Keel of argo navis,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcarina.png?alt=media&token=86819482-969c-4ef5-955b-67b1bbe81f64
18,Cassiopeia,Queen,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcassiopeia.png?alt=media&token=1f0d02bb-d562-40a6-8083-cbef6a443d4e
19,Centaurus,Centaur,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcentaurus.png?alt=media&token=717d2693-845e-482b-8073-2d4c4a610ad1
20,Cepheus,King,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcepheus.png?alt=media&token=24ac15a3-2bcc-409e-b63d-18124a792ebb
21,Cetus,Whale,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcetus.png?alt=media&token=a83f2926-78cb-443e-babc-6061bc1e3a49
22,Chamaeleon,Chameleon,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fchamaeleon.png?alt=media&token=62e6e378-d049-4191-8fd6-7ea8ba57b77f
23,Circinus,Compass,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcircinus.png?alt=media&token=957c8ecb-c08b-4f05-b2a5-248602ef38e0
24,Columba,Dove,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcolumba.png?alt=media&token=2f50492a-410d-45e7-adcd-78e52e53df59
25,Coma berenices,Berenice’s hair,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcoma-berenices.png?alt=media&token=0e0605a1-3137-432d-aa7d-46febc916648
26,Corona australis,Southern crown,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcorona-australis.png?alt=media&token=4297513a-3ceb-4097-94eb-304f4fc34286
27,Corona borealis,Northern crown,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcorona-borealis.png?alt=media&token=24dd3899-66dc-48d4-9ad7-a0d6a3a63d23
28,Corvus,Raven,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcorvus.png?alt=media&token=79c0a1e4-07d6-4d56-882b-33db6b62de3a
29,Crater,Cup,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcrater.png?alt=media&token=9fe5b46f-eb66-4206-8608-d4e16ce208e2
30,Crux,Southern cross,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcrux.png?alt=media&token=ab4fdd7e-96a3-41bf-8c59-1f759110debb
31,Cygnus,Swan,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcygnus.png?alt=media&token=450baea8-d12c-4efb-849b-dff0902c73ba
32,Delphinus,Dolphin,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fdelphinus.png?alt=media&token=d71d9ff5-11d6-4969-b042-c8817ee1ceba
33,Dorado,Dolphinfish,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fdorado.png?alt=media&token=4d3a1a9c-ec5c-4ca7-ba7b-08761c7a216c
34,Draco,Dragon,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fdraco.png?alt=media&token=b8b0e69a-60fb-48b3-bed9-7097758aa3c2
35,Equuleus,Little horse,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fequuleus.png?alt=media&token=bbaea877-fb89-410f-b598-f1c3a227e07a
36,Eridanus,Celestial river,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Feridanus.png?alt=media&token=8105b447-0016-489e-ad21-28873bbfba62
37,Fornax,Furnace,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ffornax.png?alt=media&token=cea89151-1d87-4032-9a26-c0e9fd51474b
38,Gemini,Twins,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fgemini.png?alt=media&token=400690ef-8aeb-4471-bfdd-28a9f1084cbf
39,Grus,Crane,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fgrus.png?alt=media&token=e99ca853-60e7-4327-8380-44b7d9a78c0c
40,Heracles,Strong man,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhercules.png?alt=media&token=e9c4f2dc-137d-471b-8ee9-22f5b1508e7d
41,Horologium,Pendulum clock,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhorologium.png?alt=media&token=a9f08a27-ed4f-4331-a9b5-27002b024c2b
42,Hydra,Water serpent,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhydra.png?alt=media&token=bbb842ac-5857-4ac1-af4b-f84c9d6af369
43,Hydrus,Water snake,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fhydrus.png?alt=media&token=e908bbde-7b53-408f-9d70-aa5559e48741
44,Indus,Indian,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Findus.png?alt=media&token=076e4be4-7439-4ac4-bab6-57e639baaf7c
45,Lacerta,Lizard,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flacerta.png?alt=media&token=a83086b7-724e-4451-a2f8-9217ef06b0bf
46,Leo,Lion,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fleo.png?alt=media&token=06183bb8-c029-4008-af47-f37e0514873a
47,Leo minor,Little lion,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fleo-minor.png?alt=media&token=bf3bbf5c-a8f3-407c-8b41-8c2cc8caf106
48,Lepus,Hare,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flepus.png?alt=media&token=edd811df-3922-469e-9379-6975550e9265
49,Libra,Scales,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flibra.png?alt=media&token=d7318762-729d-4f6b-8c5c-f37c1ed1bec0
50,Lupus,Wolf,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flupus.png?alt=media&token=16751ec4-52aa-4ccd-9092-3ffd9abdc88c
51,Lynx,Lynx,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flynx.png?alt=media&token=874179bc-660f-48a9-92a9-a10766914740
52,Lyra,Harp,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Flyra.png?alt=media&token=33e8d558-3e0b-4c50-a44c-7aee07710713
53,Mensa,Table mountain,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmensa.png?alt=media&token=326a4857-6ee7-46a7-8bac-79e0ac55b506
54,Microscopium,Microscope,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmicroscopium.png?alt=media&token=7bf5b147-19b8-44a7-bdc1-c5eca493e305
55,Monoceros,Unicorn,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmonoceros.png?alt=media&token=1b434afa-7ba7-4c5e-be1a-4ddbdd96b0ac
56,Musca,Fly,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fmusca.png?alt=media&token=df20000a-aa9e-4980-9a56-c5fd52119309
57,Norma,Level,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fnorma.png?alt=media&token=661ef748-e0f2-480a-802d-61c54aa2e5d9
58,Octans,Octant,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Foctans.png?alt=media&token=29576a14-a060-4c0e-9b4c-b3bd641291cf
59,Ophiuchus,Serpent holder,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fophiuchus.png?alt=media&token=36cff685-e2eb-49fc-9ba7-8ce2c0de33dd
60,Orion,Hunter,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Forion.png?alt=media&token=d6570605-6158-4d5d-a44c-a43cfcd3f8cc
61,Pavo,Peacock,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpavo.png?alt=media&token=eff1650d-8382-4a91-ad97-9aa915d498aa
62,Pegasus,Winged horse,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpegasus.png?alt=media&token=71fb2269-1e2a-49e0-ac9e-b0a7cf5eab71
63,Perseus,Greek hero,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fperseus.png?alt=media&token=9084c066-003d-48e3-b3c8-878e57ae670d
64,Phoenix,Firebird,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fphoenix.png?alt=media&token=45a23e90-304f-4d57-a74f-c4ab7beca196
65,Pictor,Painter’s easel,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpictor.png?alt=media&token=5de19d86-ae40-44e3-a109-abda095c4c29
66,Pisces,Fishes,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpisces.png?alt=media&token=14d7defb-08bd-4ffe-b23a-cb2803270712
67,Piscis austrinus,Southern fish,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpiscis-austrinus.png?alt=media&token=fd5aa5b2-81d6-4c28-9d33-324e0d97cef6
68,Puppis,Stern of argo navis,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpuppis.png?alt=media&token=65ca7219-f7f8-4693-9297-8cbff746502f
69,Pyxis,Compass,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fpyxis.png?alt=media&token=1f9cc200-1b52-45f7-8700-05bd3779c154
70,Reticulum,Reticle,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Freticulum.png?alt=media&token=bc45d8ed-75ec-452c-833d-a877e5c2ece8
71,Sagitta,Arrow,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsagitta.png?alt=media&token=11a400db-7b7a-4b82-a0cb-169c1ecae5da
72,Sagittarius,Archer,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsagittarius.png?alt=media&token=38fa81bc-6b97-4f88-8a60-84b139ab0fd7
73,Scorpius,Scorpion,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fscorpius.png?alt=media&token=9e87f605-5646-4e48-bc4b-dd243c9a56b5
74,Sculptor,Sculptor,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsculptor.png?alt=media&token=e19b4a94-0d6a-4be2-a873-3089817b7699
75,Scutum,Shield,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fscutum.png?alt=media&token=fe122cf4-2bd2-4bd3-bd7c-e130d8b52bd9
76,Serpens,Serpent,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fserpens.png?alt=media&token=8e2f9d8c-9601-4edb-b326-aa28a271fb93
77,Sextans,Sextant,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fsextans.png?alt=media&token=f5a0e972-fdfb-4148-9e7f-40e4ea355a68
78,Taurus,Bull,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftaurus.png?alt=media&token=027bb561-f0f5-44c1-ab49-5d684a3f25f7
79,Telescopium,Telescope,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftelescopium.png?alt=media&token=85991ad1-64cf-4a71-8fb2-ed62f7dfefab
80,Triangulum,Triangle,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftriangulum.png?alt=media&token=177b400e-4ab2-4b92-a8d9-5ff0df9c2e2b
81,Triangulum australe,Southern triangle,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftriangulum-australe.png?alt=media&token=feba1dc3-a14f-40b7-a7c0-d17b0ed487be
82,Tucana,Toucan,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Ftucana.png?alt=media&token=7bd3829c-18c7-4947-b2e4-e31dc9443b7a
83,Ursa major,Big bear,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fursa-major.png?alt=media&token=f928b480-ec7e-4c9b-bf57-4dd8fa4401d5
84,Ursa minor,Small bear,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fursa-minor.png?alt=media&token=8d6e03d9-ddcf-4e09-b492-e047cfbd7407
85,Vela,Sails of argo navis,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvela.png?alt=media&token=6ad4e3c5-0e41-46f0-a37b-b37b1c151ce1
86,Virgo,Young maiden,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvirgo.png?alt=media&token=979546d3-2120-4a25-84ef-f9bbe1e70d38
87,Volans,Flying fish,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvolans.png?alt=media&token=0d426dc9-002f-494d-96c8-f17153a11107
88,Vulpecula,Little fox,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fvulpecula.png?alt=media&token=07c594d3-1366-4b2e-828f-4205539c27f0
89,Anguilla,Eel,
90,Antinous,Antinous,
91,Apes,"Bees (renamed to Vespa, then Lilium, then to Musca Borealis)",
92,Apis,"Bee (obsolete name and renamed to Musca Australis, and then shortened to Musca)",
93,Aranea,Long-Legged Spider,
94,Argo Navis,"The Ship Argo (now divided into Carina, Puppis, and Vela)",
95,Asselli and Praesepe,Dionysus's Asses (Asellus Borealis and Asellus Australis) and Manger (Beehive Cluster),
96,Asterion and Chara,Northern and Southern Dogs in Canes Venatici,
97,Battery of Volta,Battery,
98,Bufo,Toad,
99,Cancer Minor,Lesser Crab,
100,Capra and Haedi,Goat Amalthea (stars surrounding Capella) and the Kids (Haedus I and Haedus II),
101,Cerberus,Cerberus (guardian dog of Hades),
102,Cor Caroli Regis Martyris,Charles's Heart,
103,Corona Firmiana,Corona Borealis renamed to honor Count Leopold Anton von Firmian,
104,Custos Messium,Keeper of harvests,
105,Deltoton,Delta (obsolete name for Triangulum Boreale),
106,Dentalium,Tooth Shell,
107,Felis,Cat,
108,Frederici Honores,Frederick's Honors,
109,Gallus,Rooster,
110,Gladii Electorales Saxonici,Crossed Swords of the Electorate of Saxony,
111,Globus Aerostaticus,Hot air balloon,
112,Gryphites,Gryphaea shellfish,
113,Hippocampus,Sea Horse,
114,Hirudo,Leech,
115,Jordanus,River Jordan,
116,Leo Palatinus,Lion to honor the Elector Palatine Charles Theodore and his wife Elisabeth Auguste,
117,Lochium Funis,Log line (renamed to Linea Nautica in 1888 by Eliza A. Bowen[16]),
118,Lilium,Fleur de Lys (renamed Musca Borealis),
119,Limax,Slug,
120,Linum Piscium,The line connecting the fish (renamed from Linum Austrinum and Linum Boreum by Bode in 1801; known as Lineola too),
121,Lumbricus,Earthworm,
122,Machina Electrica,Electricity generator,
123,Malus,Mast,
124,Manis,Pangolin,
125,Marmor Sculptile,Bust of Columbus,
126,Mons Maenalus,Mount Mainalo,
127,Musca Borealis,Northern Fly,
128,Noctua,Owl,
129,Nubecula Major and Nubecula Minor[citation needed],Magellanic Clouds,
130,Officina Typographica,Printshop,
131,Patella,Limpet,
132,Phoenicopterus,Flamingo (an obsolete name for Grus),
133,Pinna Marina,Mussel,
134,Piscis Notus,Southern Fish (obsolete name for Piscis Austrinus),
135,Polophylax,Guardian of the Pole,
136,Pomum Imperiale,Leopold's orb,
137,Phaethon,Phaethon,
138,Pluteum,Parapet (obsolete for Pictor),
139,Psalterium Georgii,George's Psaltery (renamed to Harp Georgii by Lalande),
140,Quadrans Muralis,Mural Quadrant,
141,Quadratum,Rhombus (obsolete name for Reticulum Rhomboidalis),
142,Ramus Pomifer,Apple-bearing Branch,
143,Robur Carolinum,Charles' Oak,
144,Rosa,Rose,
145,Sagitta Australis,Southern Arrow,
146,Scarabaeus,Rhinoceros Beetle,
147,Sceptrum Brandenburgicum,Scepter of Brandenburg,
148,Sceptrum et Manus Iustitiae,Scepter and Hand of Justice,
149,Sciurus Volans,Flying Squirrel (now part of Camelopardalis),
150,Sextants Uraniae,Urania's Sextant (obsolete name for Sextans),
151,"Siren, Ceneus and Lang","Siren, Lapith Caeneus and Toucan",
152,Solarium,Sundial,
153,Sudarium Veronicae,Sudarium of Veronica,
154,Rangifer or Tarandus,Reindeer,
155,Taurus Poniatovii,Poniatowski's Bull,
156,Tarabellum and Vexillum,Drill and flag-like Standard,
157,Telescopium Herschelii,Herschel's Telescope (renamed from Tubus Herschelii Major by Bode in 1801),
158,Tubus Herschelii Minor,Herschel's Reflector,
159,Testudo,Tortoise,
160,Tigris,Tigris River,
161,Triangulus Antarcticus,Obsolete name for Triangulum Australe,
162,Triangulum Majus,Large Triangle (obsolete name for Triangulum),
163,Triangulum Minus,Small Triangle,
164,Turdus Solitarius,"Solitary Thrush (renamed to Mocking Bird and then to Noctua). Named in honor of the Rodrigues solitaire, an extinct flightless bird related to the dodo.",
165,Uranoscopus,Star-Gazer fish,
166,Urna,Urn of Aquarius,
167,Vespa,Wasp (an obsolete name for Musca Borealis),
168,"Triangula, Triangulum, Catuli, Corona, Corolla, Piscis, Camelus, Vulpes, Equus, Delphin, Ursa Minor, Canis, Felis, Leaena and Cervus","Obsolete names for Triangulum Boreale, Triangulum Australe, Canes Venatici, Corona Borealis, Corona Australis, Piscis Australis, Cameleopardalis, Vulpecula et Anser, Equuleus, Delphinus, Ursa Major, Ursa Minor, Canis Major, Canis Minor, Leo Minor and Monoceros",
169,Nu Xiu,Chinese Princess,
