id,group,class,classSingular,name,meaning,image
54,apollo-saints,Corona Saints,Corona Saint,Microscopium constellation,Microscope,assets/constellations/microscopium.png
55,apollo-saints,Corona Saints,Corona Saint,Monoceros constellation,Unicorn,assets/constellations/monoceros.png
56,apollo-saints,Corona Saints,Corona Saint,Musca constellation,Fly,assets/constellations/musca.png
57,apollo-saints,Corona Saints,Corona Saint,Norma constellation,Level,assets/constellations/norma.png
58,apollo-saints,Corona Saints,Corona Saint,Octans constellation,Octant,assets/constellations/octans.png
59,apollo-saints,Corona Saints,Corona Saint,Ophiuchus constellation,Serpent holder,assets/constellations/ophiuchus.png
60,apollo-saints,Corona Saints,Corona Saint,Orion constellation,Hunter,assets/constellations/orion.png
61,apollo-saints,Corona Saints,Corona Saint,Pavo constellation,Peacock,assets/constellations/pavo.png
62,apollo-saints,Corona Saints,Corona Saint,Pegasus constellation,Winged horse,assets/constellations/pegasus.png
63,apollo-saints,Corona Saints,Corona Saint,Perseus constellation,Greek hero,assets/constellations/perseus.png
64,apollo-saints,Corona Saints,Corona Saint,Phoenix constellation,Firebird,assets/constellations/phoenix.png
65,apollo-saints,Corona Saints,Corona Saint,Pictor constellation,Painter’s easel,assets/constellations/pictor.png
66,apollo-saints,Corona Saints,Corona Saint,Pisces constellation,Fishes,assets/constellations/pisces.png
67,apollo-saints,Corona Saints,Corona Saint,Piscis Austrinus constellation,Southern fish,assets/constellations/piscis-austrinus.png
68,apollo-saints,Corona Saints,Corona Saint,Puppis constellation,Stern of argo navis,assets/constellations/puppis.png
69,apollo-saints,Corona Saints,Corona Saint,Pyxis constellation,Compass,assets/constellations/pyxis.png
70,apollo-saints,Corona Saints,Corona Saint,Reticulum constellation,Reticle,assets/constellations/reticulum.png
71,apollo-saints,Corona Saints,Corona Saint,Sagitta constellation,Arrow,assets/constellations/sagitta.png
72,apollo-saints,Corona Saints,Corona Saint,Sagittarius constellation,Archer,assets/constellations/sagittarius.png
73,apollo-saints,Corona Saints,Corona Saint,Scorpius constellation,Scorpion,assets/constellations/scorpius.png
74,apollo-saints,Corona Saints,Corona Saint,Sculptor constellation,Sculptor,assets/constellations/sculptor.png
75,apollo-saints,Corona Saints,Corona Saint,Scutum constellation,Shield,assets/constellations/scutum.png
76,apollo-saints,Corona Saints,Corona Saint,Serpens constellation,Serpent,assets/constellations/serpens.png
77,apollo-saints,Corona Saints,Corona Saint,Sextans constellation,Sextant,assets/constellations/sextans.png
78,apollo-saints,Corona Saints,Corona Saint,Taurus constellation,Bull,assets/constellations/taurus.png
79,apollo-saints,Corona Saints,Corona Saint,Telescopium constellation,Telescope,assets/constellations/telescopium.png
80,apollo-saints,Corona Saints,Corona Saint,Triangulum constellation,Triangle,assets/constellations/triangulum.png
81,apollo-saints,Corona Saints,Corona Saint,Triangulum Australe constellation,Southern triangle,assets/constellations/triangulum-australe.png
82,apollo-saints,Corona Saints,Corona Saint,Tucana constellation,Toucan,assets/constellations/tucana.png
83,apollo-saints,Corona Saints,Corona Saint,Ursa major constellation,Big bear,assets/constellations/ursa-major.png
84,apollo-saints,Corona Saints,Corona Saint,Ursa minor constellation,Small bear,assets/constellations/ursa-minor.png
85,apollo-saints,Corona Saints,Corona Saint,Vela constellation,Sails of argo navis,assets/constellations/vela.png
86,apollo-saints,Corona Saints,Corona Saint,Virgo constellation,Young maiden,assets/constellations/virgo.png
87,apollo-saints,Corona Saints,Corona Saint,Volans constellation,Flying fish,assets/constellations/volans.png
88,apollo-saints,Corona Saints,Corona Saint,Vulpecula constellation,Little fox,assets/constellations/vulpecula.png
