id,character,affiliation,armor,class,scheme,artist
156,Paradise,14,Apus Cloth Stone,22,,
157,Paradox,14,Gemini Cloth Stone | Staff (Scarlet Janus Chronotector),22,,
158,Partita,14,Owl Cloth | Owl Surplice,22,,
159,Phaeton,14,null,22,,
160,Plavin,14,Peacock Cloth Stone,22,,
161,Ptolemy,14,Sagitta Cloth,22,,
162,Raki,14,null,22,,
163,Regulus,14,Leo Cloth,22,,
164,Retsu,14,Lynx Cloth,22,,
165,Rigel | Algea,14,Orion Cloth | Pain Leaf,22,,
166,Ritahoa,14,Black Phoenix,22,,
167,Rodorio,14,Pegasus Cloth,22,,
168,Rudolph,14,Reindeer Cloth Stone,22,,
169,Ruse,14,Black Crow Cloth,22,,
170,Rusk,14,Pyxis Cloth,22,,
171,Ryuho,14,Dragon Cloth Stone | Dragon New Cloth | Dragon Omega Cloth,22,,
172,Saga,14,Gemini Cloth | Pope Cloth | Gemini Surplice,22,,
173,Sage,14,Cancer Cloth,22,,
174,Salinsa,14,null,22,,
175,Salo,14,null,22,,
176,Saori Kido,14,Athena's God Cloth | Athena Kamui,22,,
177,Sasha,14,Athena's God Cloth | Athena Kamui,22,,
178,Schiller,14,Cancer Cloth Stone,22,,
179,Seiya,14,Pegasus Cloth | Pegasus Cloth 2 | Pegasus God Cloth | Sagittarius Cloth,22,,
180,Shaka,14,Virgo Cloth,22,,
181,Sham,14,Sagitta Cloth Stone,22,,
182,Sher-Khan,14,null,22,,
183,Shijima,14,Virgo Cloth,22,,
184,Shina,14,Ophiuchus Cloth,22,,
185,Shinadekuro,14,Black Dragon Cloth,22,,
186,Shinato,14,null,22,,
187,Shion,14,null,22,,
188,Shiryu,14,Dragon Cloth | Dragon New Cloth | Dragon God Cloth | Libra Cloth,22,,
189,Shiva,14,Peacock Cloth,22,,
190,Sho,14,Sky Cloth,22,,
191,Sho,14,,22,,
192,Shoko,14,Equuleus Cloth,22,,
193,Shun,14,Andromeda Cloth | Andromeda New Cloth | Andromeda Plain Cloth | Andromeda Kamui Cloth,22,character image,
194,Shura,14,Capricorn Cloth | Capricorn Surplice,22,,
195,Sirius,14,Canis Major Cloth | Canis Major Surplice,22,,
196,Sisyphus,14,Sagittarius Cloth,22,,
197,Sonia,14,Scorpio Cloth Stone | Hornet Galaxy,22,,
198,Souma,14,Lionet Cloth Stone | Lionet New Cloth | Lionet Omega Cloth,22,,
199,Spartan,14,Pyxis Cloth,22,,
200,Spear,14,Dorado Cloth Stone,22,,
201,Spika,14,null,22,,
202,Subaru,14,Basic Steel Cloth | Equuleus New Cloth,22,,
203,Suikyo,14,Crateris Cloth | Garuda Surplice,22,,
204,Teneo,14,Taurus Cloth,22,,
205,Tenma,14,Pegasus Cloth | Pegasus God Cloth,22,,
206,Terrorist of the Three Mile Island,14,,22,,
207,Toki,14,,22,,
208,Tokisada,14,Horologium Cloth Stone | Aquarius Cloth Stone | Deathwatch Chronotector,22,,
209,Tomoe,14,null,22,,
210,Tsubaki,14,Vela Cloth,22,,
211,Ushio,14,Marine Cloth,22,,
212,Xiaoling,14,Ursa Minor Cloth,22,,
213,Yato,14,Unicorn Cloth | Unicorn New Cloth,22,,
214,Yoshino Hino,14,null,22,,
215,Yoshitomi,14,Wolf Clostone,22,,
216,Yulij,14,Sextans Cloth,22,,
217,Yuna,14,Aquila Cloth Stone | Aquila New Cloth | Aquila Omega Cloth,22,,
218,Yuzuriha,14,Crane Cloth,22,,
219,Zaphiri,14,Scorpio Cloth,22,,
