id,name,rank,object,artist,constellation
124,Pegasus Omega Cloth,9,,,
125,Pegasus Ultimate Omega Cloth,9,,,
126,Perseus Cloth,6,,,
127,Phoenix Cloth V1,5,,,
128,Phoenix Cloth V1 Anime,5,,,
129,Phoenix Cloth V2,5,,,
130,Phoenix Cloth V3,5,,,
131,Phoenix God Cloth,9,,,
132,Pisces Cloth,7,,,
133,Pisces God Cloth,9,,,
134,Piscis Austrinus Cloth,5,,,
135,Puppis Cloth,5,,,
136,Puppis Cloth Lost Canvas,5,,,
137,Pyxis Cloth,5,,,
138,Pyxis Cloth Lost Canvas,5,,,
139,Rangifer Cloth,5,,,
140,Reticulum Cloth,6,,,
141,Sagitta Cloth,6,,,
142,Sagittarius Cloth,7,,,
143,Sagittarius God Cloth,9,,,
144,Scorpio Cloth,7,,,
145,Scorpio God Cloth,9,,,
146,Scutum Cloth,5,,,
147,Sea Serpent Cloth,,,,
148,Serpens Cloth,5,,,
149,Sextans Cloth,5,,,
150,Shadow Cloth,,,,
151,Sky Cloth,3,,,
152,Tarantula Cloth,5,,,
153,Taurus Cloth,7,,,
154,Taurus God Cloth,9,,,
155,Triangulum Cloth,6,,,
156,Tucana Cloth,5,,,
157,Ursa Major Cloth,5,,,
158,Ursa Minor Cloth,5,,,
159,Vela Cloth,5,,,
160,Virgo Cloth,7,,,
161,Virgo God Cloth,9,,,
162,Volans Cloth,5,,,
