24,Manigold,25,Male,July 14th,Italy,Athena,Saints,Gold Saints,Cancer Cloth,Sanctuary / Greece,null,Pope Sage,Sekishiki Meikai-ha | Sekishiki Kisōen | Sekishiki Konsō-ha | Akubensu,187cm,85kg,null,0,
25,Deathmask,23,Male,June 24th,Italy,Gemini Saga(gold saint) | Eris(Dryades) | Athena(Resurrected saint),Saints,Gold Saints | Dryades | Resurrected Saint,Cancer Cloth | Punishment Leaf | Cancer Surplice,Sicily /  Italy,Coma Berenices Mei (Gigantomachia-only),null,Seki Shiki Meikai Ha,184cm,82kg,null,A,
26,Sage,null,Male,null,Tibet,Athena,Saints,Gold Saints,Cancer Cloth,Jamir,null,null,null,null,null,Altar Hakurei(Twin Brother),null,
27,Schiller,null,Male,null,Sri Lankan,Mars,Saints,Gold Saints,Cancer Cloth Stone,Sanctuary / Greece,null,null,Meido Chōraku | Seki Shiki Meikai Ha | Meido Indō | Seki Shiki Meikai Rinbu | Tomb Squeeze,null,null,null,null,
28,Asterion,16,Male,Feb-20,Denmark,Athena,Saints,Silver Saints,Hound Cloth,Blocken Mount /  Austria,null,null,Million Ghosts Attack,1.83 m,75kg,null,B,
29,Miguel,null,Male,null,Mexican,Mars(first) | Athena(current),Saints,Silver Saints,Hound Cloth Stone,null,null,null,Ground Fang | Ground Wave | Ground Fang Grand Finale | Hound Hollow,null,null,null,null,
30,Sirius,17,Male,Jan-06,Germany,Athena,Saints,Silver Saints,Canis Major Cloth | Canis Major Surplice,Sanctuary / Greece,null,null,Great Mountain Smasher (OVA),185 cm,86 kg,null,0,
31,El Cid,26,Male,4th january,Kingdom of Spain,Athena,Saints,Gold Saints,Capricorn Cloth,null,Vela Tsubaki | Puppis Lacaille | Pyxis Rusk | Pakia,null,Jumping Stone | Excalibur,null,null,null,null,
32,Shura,26,Male,January 12th,Spain,Athena,Gold Saints | Resurrected Saint,null,Capricorn Cloth | Capricorn Surplice,Pyrenees /  Spain,null,null,Jumping Stone | Excalibur | Excalibur (Violent Dance) | Ex. Caliburn (G) | Double Excalibur (G),186cm,83kg,null,B,
33,Ionia,null,Male,null,Unknown,Athena(Former) | Mars(Current),Saints,Principal at Palestra | Gold Saints,Capricorn Cloth Stone,null,null,null,Domination Language,null,null,null,null,
34,Izo,null,Male,null,Japanese,Athena,Saints,Gold Saints,Capricorn Cloth,null,null,null,Excalibur,null,null,null,null,
35,Atlas,null,Male,null,null,Abel,Saints,Corona Saints,Carina Corona Cloth,null,null,null,Burning Corona,186cm,83kg,null,null,
36,Elda,null,Female,null,null,Athena,Saints | Saintias,Bronze Saints,Cassiopeia Cloth,Saint Academy,null,null,Greatest Eruption,null,null,null,null,
37,Babel,17,Male,Feb-20,Iraq,Athena,Saints,Silver Saints,Centaurus Cloth | Centaurus Surplice,Centaur Island,null,null,Fotia Roufihtra,185 cm,80 kg,null,A,
38,Mouses,17,Male,Aug-02,New Zealand,Athena,Saints,Silver Saints,Whale Cloth | Whale Surplice,New Zealand,null,null,Kaitoz Spouting Bomber,205 cm,130 kg,null,A,
39,Menkar,null,Male,null,null,Mars(first) | Athena(current),Saints,Silver Saints,Whale Cloth Stone,null,null,null,null,null,null,null,null,
40,June,14,Female,Apr-17,Ethiopia,Athena,Saints,Bronze Saints,Chameleon Cloth,Andromeda Island /  Somalia,null,Cepheus Daidalos (master /  manga-only) | Cepheus Albior(master /  anime-only),null,160cm,45kg,null,null,
41,Hook,null,Male,null,null,Athena,Saints,Bronze Saints,Compass Cloth Stone,Palestra,null,Geki (Omega)(master at Palestra),Ground Needle,null,null,null,null,
42,Gray,null,Male,null,null,Athena,Saints,Bronze Saints,Columba Cloth Stone,Palestra,null,Geki (Omega) | Georges,null,null,null,null,null,
43,Berengue,null,Male,null,null,Abel,Saints,Corona Saints,Coma Corona Cloth,null,null,null,Golden Death Hair,181cm,78kg,null,null,
44,Mei,15,Male,null,null,Athena,null,null,null,null,null,null,null,null,null,Mitsumasa Kido (father),null,
45,Dali,null,Male,null,null,Athena,Saints,Bronze Saints,Northern Crown Cloth Stone,Palestra,null,Geki (Omega)(master at Palestra,null,null,null,null,null,
46,Katya,null,Female,null,null,null,Bronze Saint of Athena | Saintia of Athena,null,Northern Crown Cloth,Saintia Academy /  Switzerland,null,null,null,null,null,null,null,
47,Jamian,17,Male,Aug-27,England,Athena,Saints,Silver Saints,Crow Cloth,Scotland /  United Kingdom,null,null,Black Wing Shift,166cm,56kg,null,A,
48,Johan,null,Male,null,German,Mars(first) | Athena(current),Saints,Silver Saints,Crow Cloth Stone,null,null,null,Wind Jammer | Wind Trigger,null,null,null,null,
49,Suikyo,null,Male,null,Japan,"	Athena | Hades (as Garuda)",Saints(former) | Specters(current),Silver Saint of Athena | Celestial Star Specters,Crateris Cloth | Garuda Surplice,Sanctuary / Greece,Pegasus Tenma (ND),null,Hisō Byaku Renge | Hisō Byaku Senran,null,null,Suishō(brother),null,
50,Georg,null,Male,null,null,Athena,Saints,Silver Saints,Southern Cross Cloth,null,null,null,Geistig Blitz,null,null,null,null,
51,Kazuma,null,Male,null,Japanese,Athena,Saints,Silver Saints,Southern Cross Cloth Stone,Mexico,Lionet Sōma,null,null,null,null,Lionet Sōma(son),null,
52,Christ,null,Male,null,null,Athena(silver saints) | Eris(ghost five),Saints,Silver Saints | Ghost Five,Crux Cloth,null,null,null,Southern Cross Thunder Bolt,193cm,90kg,null,null,
53,Hyoga,14,Male,Jan-23,Russian (half-Japanese),Athena,Saints,Bronze Saints,Cygnus Cloth | Cygnus New Cloth | Cygnus Plain Cloth | Cygnus Kamui Cloth,East Siberia,null,Crystal Saint (anime) | Aquarius Camus (manga),Diamond Dust | Kholodnyi Smerch (manga-only) | Aurora Thunder Attack | Aurora Execution | Freezing Coffin,173cm,60kg,Natassia (mother) | Natassia (foster daughter GA),O,
54,Isaak,14,Male,Feb-17,Finland,Poseidon,Marinas,Marinas General,Kraken Scale,West Siberia,null,Aquarius Camus (manga-only) | Crystal Saint(anime-only),Aurora Borealis,174cm,60kg,null,B,
55,Crystal Saint,19 years,Male,Feb-03,Siberia,Athena,Saint of Athena,null,Crystal Cloth,Siberia,Cygnus Hyōga | Kraken Isaak,Aquarius Camus,Diamond Dust | Tō Kekken,null,null,null,null,
56,Guney,null,Male,null,null,Athena,Saints,Bronze Saints,Delphinus Cloth Stone,Palestra,null,Geki (Omega),Delphinus Bomb,null,null,null,null,
57,Alicia Mii Benethol,null,Female,null,Japan,Athena,Saints | Saintias,Bronze Saints,Delphinus Cloth,Sanctuary / Greece,null,null,Angel Splash | Heaven's Maelstrom,null,null,null,null,
58,Spear,null,Male,null,null,Athena,Saints,Bronze Saints,Dorado Cloth Stone,Palestra,null,Geki (Omega) | Georges,Swordfish Cutter,null,null,null,null,
59,Shiryu,14,Male,Oct-04,Japanese (half-Chinese),Athena,Saints,Bronze Saints /  Gold Saints,Dragon Cloth | Dragon New Cloth | Dragon God Cloth | Libra Cloth,Five Ancient Peaks of Rozan /  China,null,Libra Dohko,Rozan Shou Ryuu Ha | Rozan Ryuu Hi Shou | Rozan Kou Ryuu Ha | Excalibur | Rozan Hyaku Ryu Ha,177cm,57kg,null,A,
60,Ryuho,12 (season 1) | 13 (season 2),Male,null,Chinese (half-Japanese),Athena,Saints,Bronze Saints,Dragon Cloth Stone | Dragon New Cloth | Dragon Omega Cloth,Old Five Peak | Palestra,null,Dragon Shiryu (Omega) | Geki (Omega) (master at Palestra),Suihakkei | Kyōka Suigetsu | Meikyō Shisui | Rozan Shō Ryū Ha | Rozan Hyaku Ryū Ha | Suiryū Enbu,null,null,Dragon Shiryu (Omega) (father) | Shunrei (Omega) (mother),null,
61,Celeris,null,Male,null,null,Athena,Saints,Bronze Saints,Equuleus Cloth Stone,Pallas Belda,null,null,Supernova Explosion Maximum,null,null,null,null,
62,Kitalpha,null,Male,null,null,Athena,Saints,Bronze Saints,Equuleus Cloth Stone,null,null,null,Supernova Explosion Maximum,null,null,null,null,
63,Subaru,12,Male,null,Japan,Athena,Saints,Steel Saints | Bronze Saints | Human Form of Saturn,Basic Steel Cloth | Equuleus New Cloth,null,null,Ban (Omega) | Nachi (Omega),Steel Hurricane | Steel Bolt Cannon | Pleiades Impact | Supernova Explosion | Pleiades Tempest,null,null,null,null,
64,Kyoko,null,Female,null,Japan,Athena,Saints | Saintias,Bronze Saints,Equuleus Cloth,Sanctuary / Greece,null,null,Equuleus Ryūsei Ken,null,null,Equuleus Shō (sister),null,
65,Shoko,null,Female,null,Japan,Athena,Saints | Saintias,Bronze Saints | Potential Host of Eris' soul,Equuleus Cloth,Togakushi Mountain,null,null,Equuleus Ryūsei Ken,null,null,Equuleus Kyōko(sister) | Father | Olivia (mother / deceased),null,
66,Abel,null,Male,null,Greece,Himself,Saints,Gold Saints,Gemini Cloth,Sanctuary / Greece,null,null,Another Dimension | Genrō Maō Ken | Galaxian Explosion,null,null,Gemini Cain(twin brother),null,
67,Cain,null,Male,null,Greece,Athena,Saints,Gold Saints,Gemini Cloth,Sanctuary / Greece,null,null,Galaxian Explosion,null,null,Gemini Abel(twin brother),null,
68,Aspros,Died at 25,Male,null,Ottoman Greece,Himself(gold saint) | Hades / Athena( Resurrected saint),Saints,Gold Saints | Resurrected Saint,Gemini Cloth | Gemini Surplice,Sanctuary / Greece,null,null,Genrōmaōken | Galaxian Explosion | Another Dimension,null,null,Gemini Deuteros(twin brother),null,
69,Defteros,27,Male,null,Ottoman Greece,Athena,Saints,Gold Saints,Gemini Cloth,Sanctuary / Greece | Kanon Island,Pegasus Tenma,null,Another Dimension | Mavros Eruption Clast/Mavros Eruption Crust | Galaxian Explosion,null,null,Gemini Aspros(twin brother),null,
70,Kanon,28,Male,May 30th,Greece,Himself | Athena,Marinas | Saints,Marinas General | Gold Saints,Sea Dragon Scale | Gemini Cloth,Sanctuary / Greece | Kanon Island,null,null,Genrō Maō Ken | Golden Triangle | Galaxian Explosion,188cm,87kg,Gemini Saga(twin brother),AB,
71,Paradox,null,Female,null,British,Mars | Pallas (Omega)(first) | Athena(later),Saints(former) | Pallasites(later),Gold Saints | Pallasites Second Class,Gemini Cloth Stone | Scarlet Janus Chronotector,Sanctuary / Greece,null,null,Rozan Shō Ryū Ha | Crossroad Mirage | Fortunate Wall | Final Destination | Scarlet Janus | World's End | Galaxian Ultimation | Another Dimension,null,null,Gemini Integra(twin sister),null,
72,Saga,28,Male,May 30th,Greece,Athena (Good Side) | Himself (Evil Side),Saints,Gold Saints | High Priest | Resurrected Saint,Gemini Cloth | Pope Cloth | Gemini Surplice,Sanctuary /  Greece,null,null,Another Dimension | Genrō Maō Ken | Galaxian Explosion,188cm,87kg,Sea Dragon Kanon/Gemini Kanon (Twin Brother),AB,
73,Komachi,null,Female,null,Japan,Athena,Saints,Bronze Saints,Crane Cloth Stone,Palestra,null,Geki (Omega)(master at Palestra) | Georges(master at Palestra),null,null,null,null,null,
74,Yuzuriha,17,Female,null,Tibet,Athena,Saints,Silver Saints,Crane Cloth,Jamir,null,Hakurei,Kenbu Shōsen Kyaku,null,null,Hanuman Tokusa(brother),null,
75,Algethi,17,Male,null,Africa,Athena,Saints,Silver Saints,Hercules Cloth | Hercules Surplice,Uganda,null,null,Kornephoros,240 cm,180 kg,null,O,
76,Curtis,null,Male,null,null,Athena,Saints,Bronze Saints,Hydra Cloth,null,null,null,null,null,null,null,null,
77,Ichi,14,Male,Feb-10,Japan,Athena,Saints,Bronze Saints,Hydra Cloth,Lake Holtz /  Finland,null,null,Mellow Poison,170 cm,56 kg,null,B,
78,Misty,16,Male,Oct-11,France,Athena,Saints,Silver Saints,Lizard Cloth | Lizard Surplice,Côte d'Azur /  France,null,null,Mavrou Trippa,180cm,68kg,null,O,
79,Aiolia,13 years (G: debut)[2] | 20 years (SS: debut) | 23 years (LoS)[3],Male,Aug-16,Greece,Athena,Saint of Athena,Gold Saint of Athena,Leo Cloth | Leo God Cloth,Athena's Sanctuary / Greece,null,Sagittarius Aiolos,Lightning Bolt | Lighting Plasma | Lighting Fang (G) | Lightning Spark | Photon Invoke (G) | Photon Drive (G) | Photon Burst (G),185 cm,85 kg,Sagittarius Aiolos (brother),O,
80,Ilias,null,Male,null,Holy Roman Empire,Athena,Saints,Gold Saints,Leo Cloth,Sanctuary /  Greece,null,null,Lightning Plasma,null,null,Sagittarius Sisyphus (brother) | Leo Regulus (son),null,
81,Kaiser,null,Male,null,Holy ROman Empire,Athena,Saints,Gold Saints,Leo Cloth,Sanctuary / Greece,null,null,null,null,null,null,null,
82,Mycenae,null,Male,null,Turkey,Mars,Saint of Athena,Gold Saint of Athena,Leo Cloth,null,Orion Eden,null,King's Roar | King's Emblem | Hōkō | Lighting Plasma | Beast Fall | Regulus Blast,null,null,null,null,
83,Regulus,15,Male,null,Holy Roman Empire,Athena,Saints,Gold Saints,Leo Cloth,Sanctuary /  Greece,null,Sagittarius Sisyphus,Lightning Plasma | Lightning Bolt | Athena Exclamation(solo) | Zodiac Clamation | Lightning Crown,null,null,Leo Ilias(Father) | Sagittarius Sisyphus(Uncle),null,
84,Ban,15,Male,Dec-30,Japan,Athena,Saints,Bronze Saints,Lionet Cloth,Mt. Kilimanjaro /  Tanzania,null,null,Lionet Bomber,181 cm,83 kg,null,B,
85,Bleriot,null,Male,null,null,Athena,Saints,Bronze Saints,Lionet Cloth,null,null,null,null,null,null,null,null,
86,Souma,14 (season 1) | 15 (season 2),Male,null,Mexican (half-Japanese),Athena,Saints,Bronze Saints | Profesor at Palestra(tempory),Lionet Cloth Stone | Lionet New Cloth | Lionet Omega Cloth,Mexico | Palestra,null,Southern Cross Kazuma | Geki (Omega)(master at Palestra | Jabu(Omega),Flame Desperado | Lionet Burning Fire | Lionet Bomber | Lionet Flare Storm Bomber | Lionet Explosion,null,null,Southern Cross Kazuma(father),null,
87,Arne,null,Female,null,null,Athena,Saints,Bronze Saints,Lepus Cloth Stone,Palestra,null,Geki (Omega)(master at Palestra) | Georges(master at Palestra),null,null,null,null,null,
88,Dohko,18 (ND & LC) | 261 (SS),Male,20-Oct,Chinese,Athena,Saints,Gold Saints,Libra Cloth,Five Peaks /  China,Dragon Shiryū | Ōko (Anime) | Pegasus Tenma (LC) | Libra Genbu,Old Master,Rozan Hyakuryū Ha | Rozan Ryū Hishō | Yūko Sen'nin Enbu | Rozan Shōryūha | Rozan Kōryūha | Misopesamenos,1.40 to 1.70 m,null,Shunrei(adopeted daughter) | Shōryū(adoptive grand-son /  manga-only) Dragon Ryūhō(grand-son  /  omega),A,
89,Genbu,null,Male,null,China,Athena,Saints,Gold Saints,Libra Cloth Stone,null,null,Dōko (Omega),Rozan Shinbu Ken | Rozan Shō Ten Ha,null,null,null,null,
90,Itia,More then 250 years (TLC - G 15th century),Male,Oct-17,null,Athena,Saints,Pope | Libra Gold Saint,Libra Cloth,null,Aries Gateguard | Cancer Sage | Altar Hakurei,null,Finally justice,195 cm,93 kg,null,O,
91,Haruto,13 (season 1) | 14 (season 2),Male,null,Japan,Athena,Saints,Bronze Saints,Wolf Cloth Stone | Wolf New Cloth | Wolf Omega Cloth,Japan(Fujiryu Clan) | Palestra,null,Wolf Yoshitomi | Geki (Omega)(master at Palestra),Kawarimi no Jutsu | Kinton no Jutsu | Katon No Jutsu | Doton no Jutsu | Seiryuu Teppou Mizu | Kaen no Mae Midareuchi | Juumonji Gansei Kuzushi | Suitton Zettai Reigo | Fujiryu Ninpo! Houkou Tenrou Kuzushi | Fujiryu Ninpo! Nozuchi Kuzuchi | Fujiryu Ninpo! Doton Housenka | Fujiryu Ninpo! Kinkou Gin | Fujiryu Ninpo Watagashi | Fujiryu Hidden Chijin Ittai | Fujiryu Ninpo Bunshin no Jutsu | Doton! Dorui Tenjo | Doton Souga Horouchi | Doton Sajin no Mae | Hakurōken Tenshin Musō | Rougaken Rakusetsu Zenbucchii | Hakurouken Touga Shinsou | Rolling Stones | Howl | Wolf's Claw | Wolf Gang Bike Blow | Wolf Fang Striker | Wolf's Rock Dead Howling,null,null,Zenzō (father) | Wolf Yoshitomi (brother),null,
92,Yoshitomi,null,Male,null,Japan,Athena,Saints,Bronze Saints,Wolf Clostone,Japan(Fujiryu Clan) | Palestra,Wolf Haruto,Zenzō | Geki (Omega)(master at Palestra),Juumonji Gansei Kuzushi | Houkou Tenrou Kuzushi,null,null,Zenzō(master) | Wolf Haruto(considered a brother),null,
93,Junkers,null,Male,null,null,Athena,Saints,Bronze Saints,Wolf Cloth,null,null,null,null,null,null,null,null,
94,Nachi,14,Male,Jul-20,Japan,Athena,Saints,Bronze Saints,Wolf Cloth,Bomi Hills /  Liberia,null,null,Dead Howling,171,57,null,AB,
95,Jao,null,Male,null,null,Abel,Saints,Corona Saints,Lynx Cloth,null,null,null,Shining Hell Claw,178cm,73kg,null,null,
96,Mirapolos,null,Male,null,null,Athena,Saints,Bronze Saints,Lynx Cloth Stone,Palestra,null,Geki (Omega)(master at Palestra),Lynx Arrow,null,null,null,null,
97,Retsu,null,Male,null,Japan,Athena,Saints,Bronze Saints,Lynx Cloth,Sanctuary / Greece,null,Triangle Noesis,Ressō Shippū,null,null,null,null,
98,Orpheus,null,Male,null,null,Athena(silver saint) | Ghost Five,Saints,Silver Saints | Ghost Five,Lyra Cloth,null,null,null,String Requiem,172cm,58kg,null,null,
99,Orphée,19,Male,Nov-15,Greece,Athena,Saints,Silver Saints,Lyra Cloth,Sanctuary / Greece,null,null,Stinger Fine | Stringer Nocturne | Death Trip Serenade,173 cm,60 kg,null,A,
100,Jabu,13,Male,Nov-03,Japan,Athena,Saints,Bronze Saints,Unicorn Cloth,Oran /  Algeria,null,null,Unicorn Gallop,165 cm,65 Kg,null,B,
101,Yato,15,Male,null,Joseon Dynasty (today part of North and South Korea),Athena,Saints,Bronze Saints,Unicorn Cloth | Unicorn New Cloth,Sanctuary / Greece,null,Sagittarius Sisyphus,Unicorn Gallop,null,null,Mi-jong(sister),null,
102,Dio,16,Male,Jul-10,Mexico,Athena,Saints,Silver Saints,Musca Cloth | Musca Surplice,Mexico,null,null,Dead End Fly,160 cm,56 kg,null,B,
103,Fly,null,Male,null,Australian,Mars,Saints,Silver Saints,Musca Cloth Stone,null,null,null,Sand Virus | Fly Slider,null,null,null,null,
104,Luciano,null,Male,null,null,Athena,Saints,Bronze Saints,Norma Cloth Stone,Palestra,null,Geki (Omega),null,null,null,null,null,
105,Shina,16,Female,Mar-24,Italy,Athena,Saints,Silver Saints,Ophiuchus Cloth,Sanctuary /  Greece,Cassios,null,Thunder Claw,166 cm,49 kg,Geist (sister),B,
106,Odysseus,null,Male,null,null,null,Saints,Silver Saints | Gold Saints,Ophiuchus Silver Cloth | Ophiuchus Gold Cloth,null,null,null,Hypnosis | Law of Awakening | Apoptosis | Wound Resurgence,null,null,null,null,
107,Eden,15(season 1) | 16(season 2),Male,null,Italian (half-Polish),Mars(first) | Athena(current) | Pallasites(tempory),Saints,Bronze Saints | Pallasites Third Class,Orion Cloth Stone | Orion New Cloth | Orion Omega Cloth | Impulse Mace Chronotector,Italy | Palestra,null,Leo Mycenae | Geki (Omega)(master at Palestra) | Georges(master at Palestra),Folgore Renaissance | Tonitrui Saltare | Tonitrui Fera Caelos | Hilia Mastia | Towa no Tornade | Orion's Devastation | Orion's Extermination | Impulse Mace,null,null,Mars(father) | Medea(mother) | Pisces Amor(uncle) | Hornet Sonia(middle-sister) | Aria(foster-sister),null,
108,Rigel,null,Male,null,null,Athena(silver saint) | Eris(ressurected saint),Saints,Silver Saints | Ressurected Saint,Orion Cloth,null,null,null,null,null,null,null,null,
109,Jaga,null,Male,null,null,Athena(silver saint) | Eris(ghost five),Saints,Silver Saints | Ghost Five,Orion Cloth,null,null,null,Megaton Meteor Crash,183cm,80kg,null,null,
110,Mayura,null,Female,null,null,Athena,Saints,Silver Saints,Pavo Cloth,null,null,null,Hisen Hajakuchōbuku | Bangōsenseki | Higi Kenyoku Tenbusho,null,null,null,null,
111,Plavin,null,Female,null,Russian,Athena,Saints,Silver Saints,Peacock Cloth Stone,null,Aquila Yuna,null,Īki Pieria | Peacock Blizzard,null,null,null,null,
112,Shiva,16,Male,Sep-09,India,Virgo Shaka,Saints,Silver Saints,Peacock Cloth,India,null,Virgo Shaka,Senju Kami Onken,null,78 Kg,null,A,
113,Seiya,13,Male ♂,Dec-01,Japanese,Athena,Saint,Bronze Saint | Gold Saint | God Saint,Pegasus Cloth | Pegasus Cloth 2 | Pegasus God Cloth | Sagittarius Cloth,Sanctuary - Greece,null,Eagle Marin (master),Pegasus Ryu Sei Ken (Pegasus Meteor Fist) | Pegasus Sui Sei Ken (Pegasus Comet Fist) | Pegasus Rolling Crush,165 cm,53 kg,Seika (sister) | Mitsumasa Kido (father),B,
114,Tenma,15 (TLC) 13 years (ND),Male,Dec-05,Kingdom of Prussia (today part of Poland and Germany),Athena,Saint Of Athena,Bronze Saint,Pegasus Cloth | Pegasus God Cloth,Athena's Sanctuary Greece,null,Libra Dōko (TLC) | Gemini Deuteros (TLC) | Taurus Rasgado (TLC Temporary master before Rasgado death) | Crateris Suikyō (ND),Pegasus Ryu Sei Ken (Pegasus Meteor Fist) | Pegasus Sui Sei Ken (Pegasus Comet Fist) | Pegasus Sui Sei Ken:Kiseki,168cm,56kg,Mephistopheles Yōma (Father) | Owl Partita (Mother),B,
115,Kouga,13 (season 1) | 14 (season 2),Male,null,Unknown,Athena,Saints,Bronze Saints | Host Abzu soul,Pegasus Cloth Stone | Pegasus New Cloth | Pegasus Omega Cloth | Pegasus Ultimate Omega Cloth,Orphan Island | Palestra,null,Ophiuchus Shaina (Omega) | Geki (Omega)(master at Palestra,Pegasus Ryuusei Ken | Pegasus Senkou ken | Pegasus Sui Sei Ken | Pegasus Rolling Crash,null,null,Saori Kido (Omega)(foster mother),null,
116,Algol,17,Male,Nov-11,Saudi Arabia,Athena,Saints,Silver Saints,Perseus Cloth | Persues Surplice,Austria,null,null,Medusa Shield | Ra's Al Ghûl Gorgonio,188cm,83kg,null,A,
