id,character,cloth,class,rank,affiliation,scheme,artist
190,Shaka,Virgo Cloth,22,,14,,
191,Sham,Sagitta Cloth Stone,22,,14,,
192,Sher-Khan,null,22,,14,,
193,Shijima,Virgo Cloth,22,,14,,
194,Shina,Ophiuchus Cloth,22,,14,,
195,Shinadekuro,Black Dragon Cloth,22,,14,,
196,Shinato,null,22,,14,,
197,Shion,null,22,,14,,
198,Shiryu,Dragon Cloth | Dragon New Cloth | Dragon God Cloth | Libra Cloth,22,,14,,
199,Shiva,Peacock Cloth,22,,14,,
200,Sho,Sky Cloth,22,,14,,
201,Sho,,22,,14,,
202,Shoko,Equuleus Cloth,22,,14,,
203,Shun,Andromeda Cloth | Andromeda New Cloth | Andromeda Plain Cloth | Andromeda Kamui Cloth,22,,14,,
204,Shura,Capricorn Cloth | Capricorn Surplice,22,,14,,
205,Sirius,Canis Major Cloth | Canis Major Surplice,22,,14,,
206,Sisyphus,Sagittarius Cloth,22,,14,,
207,Sonia,Scorpio Cloth Stone | Hornet Galaxy,22,,14,,
208,Souma,Lionet Cloth Stone | Lionet New Cloth | Lionet Omega Cloth,22,,14,,
209,Spartan,Pyxis Cloth,22,,14,,
210,Spear,Dorado Cloth Stone,22,,14,,
211,Spika,null,22,,14,,
212,Subaru,Basic Steel Cloth | Equuleus New Cloth,22,,14,,
213,Suikyo,Crateris Cloth | Garuda Surplice,22,,14,,
214,Teneo,Taurus Cloth,22,,14,,
215,Tenma,Pegasus Cloth | Pegasus God Cloth,22,,14,,
216,Terrorist of the Three Mile Island,,22,,14,,
217,Toki,,22,,14,,
218,Tokisada,Horologium Cloth Stone | Aquarius Cloth Stone | Deathwatch Chronotector,22,,14,,
219,Tomoe,null,22,,14,,
220,Tsubaki,Vela Cloth,22,,14,,
221,Ushio,Marine Cloth,22,,14,,
222,Xiaoling,Ursa Minor Cloth,22,,14,,
223,Yato,Unicorn Cloth | Unicorn New Cloth,22,,14,,
224,Yoshino Hino,null,22,,14,,
225,Yoshitomi,Wolf Clostone,22,,14,,
226,Yulij,Sextans Cloth,22,,14,,
227,Yuna,Aquila Cloth Stone | Aquila New Cloth | Aquila Omega Cloth,22,,14,,
228,Yuzuriha,Crane Cloth,22,,14,,
229,Zaphiri,Scorpio Cloth,22,,14,,
